aurinkoiseen,sumuiseen,sateiseen,lumiseen,pilviseen,epävakaaseen
syödä aamupala,ulkoiluttaa koira,katsoa telkkaria,pestä hampaat,kastella kukat,herättää äiti
pyyhkeen,aurinkolasit,kirjan,vesipullon,ongen,rahaa
hedelmiä,karkkia,sipsiä,voileipiä,kissanruokaa,pitsaa
kävellen,pyörällä,kierien,bussilla,taksilla,hevosella ratsastaen
ystäväni,koirani,isovanhempani,naapurini,postinkantaja,saunatonttu
ihmisiä,muurahaisia,kalastajia,dinosauruksia,kukkia,vaahtokarkkeja
suuren puun juurelta,kalastajan veneen katolta,jäätelökioskin terassilta,pieneltä laiturilta,jalkapallokentän laidalta,matalasta kaislikosta
uimaan,jäätelölle,ongelle,pelaamaan rantalentopalloa,etsimään neliapiloita,keräämään roskia
lepäämme,nauramme,luemme,laulamme,otamme aurinkoa,heilutamme veneilijöille
30 sekuntia,45 minuuttia,neljä tuntia,kaksi päivää,kolme kuukautta,viisi vuotta
kotiin,nukkumaan,kauppaan,elokuviin,saunaan,mummolaan